5,4372,counter/2/1/1
5,4372,counter/1/1/1
5,572645,counter/2/1/0
5,534701,counter/1/1/0
10,587128,counter/2/2/0
10,566568,counter/1/2/0
15,4394,counter/2/0/1
15,4394,counter/1/0/1
20,4383,counter/1/1/1
20,4385,counter/2/1/1
25,4367,counter/2/2/1
25,4367,counter/1/2/1
30,3058,counter/1/0/2
30,3058,counter/2/0/2
35,3049,counter/2/1/2
35,3050,counter/1/1/2
40,3039,counter/1/2/2
40,3040,counter/2/2/2
45,1837,counter/1/0/4
45,1837,counter/2/0/4
50,1832,counter/1/1/4
50,1832,counter/2/1/4
55,1834,counter/2/2/4
55,1834,counter/1/2/4
618408,counter/1/0/0
1248979,counter/2/1/0
1243049,counter/2/2/0
