Messages Recieved,Out of Order Messages,Messages per Second,Median Intermessage Gap,Topic,Analyser QoS
12216,0,203.6,0.026,counter/1/0/4,2
12200,0,203.333,0.06,counter/1/1/4,2
12160,0,202.667,0.082,counter/1/2/4,2
805940,0,13431.667,0.025,counter/2/0/0,2
796360,0.003,13272.667,0.035,counter/2/1/0,2
213816,0,3563.133,0.093,counter/2/2/0,2
35904,0,598.4,0.026,counter/2/0/1,2
36360,0,606,0.061,counter/2/1/1,2
36680,0,611.333,0.089,counter/2/2/1,2
21492,0,358.2,0.026,counter/2/0/2,2
21580,0,359.667,0.06,counter/2/1/2,2
21668,0,361.133,0.088,counter/2/2/2,2
12196,0,203.267,0.025,counter/2/0/4,2
12164,0,202.733,0.062,counter/2/1/4,2
12116,0,201.933,0.094,counter/2/2/4,2
672572,0,11209.4,0.025,counter/3/0/0,2
1523748,0.001,25395.8,0.032,counter/3/1/0,2
162000,0,2700,0.123,counter/3/2/0,2
35884,0,598.067,0.05,counter/3/0/1,2
36012,0,600.2,0.063,counter/3/1/1,2
36176,0,602.933,0.123,counter/3/2/1,2
21548,0,359.133,0.03,counter/3/0/2,2
21516,0,358.6,0.068,counter/3/1/2,2
21584,0,359.733,0.124,counter/3/2/2,2
12136,0,202.267,0.028,counter/3/0/4,2
12156,0,202.6,0.063,counter/3/1/4,2
12136,0,202.267,0.133,counter/3/2/4,2
752520,0,12541.867,0.027,counter/4/0/0,2
1094352,0.001,18239.067,0.038,counter/4/1/0,2
120776,0,2012.6,0.165,counter/4/2/0,2
35760,0,596,0.054,counter/4/0/1,2
35504,0,591.733,0.082,counter/4/1/1,2
35468,0,591.133,0.168,counter/4/2/1,2
21420,0,357,0.03,counter/4/0/2,2
21432,0,357.2,0.08,counter/4/1/2,2
21644,0,360.733,0.165,counter/4/2/2,2
12128,0,202.133,0.028,counter/4/0/4,2
12100,0,201.667,0.077,counter/4/1/4,2
12128,0,202.133,0.164,counter/4/2/4,2
677356,0,11288.867,0.03,counter/5/0/0,2
1078328,0.001,17972.067,0.041,counter/5/1/0,2
94024,0,1566.733,0.213,counter/5/2/0,2
35508,0,591.8,0.055,counter/5/0/1,2
35780,0,596.333,0.1,counter/5/1/1,2
35880,0,598,0.211,counter/5/2/1,2
21368,0,356.133,0.033,counter/5/0/2,2
21428,0,357.133,0.097,counter/5/1/2,2
21476,0,357.933,0.212,counter/5/2/2,2
12092,0,201.533,0.034,counter/5/0/4,2
12100,0,201.667,0.099,counter/5/1/4,2
12100,0,201.667,0.21,counter/5/2/4,2
